"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Angola","AGO","Urban population living in areas where elevation is below 5 meters (% of total population)","EN.POP.EL5M.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.033110762","","","","","","","","","","1.137331759","","","","","","","","","","1.194938507","","","","","","","","","","",
"Angola","AGO","Population density (people per sq. km of land area)","EN.POP.DNST","","4.43689099221946","4.4987077885618","4.55559316595813","4.60017967434026","4.62867570385819","4.63721344349082","4.63162188176787","4.62954359509104","4.65489211518409","4.7247653806048","4.84541349161787","5.01207347397128","5.21132750461218","5.42342183364081","5.63407395524184","5.83902221865725","6.04294136520414","6.24906312665437","6.46351728563407","6.69069463383332","6.93065372583621","7.18131868131868","7.44212400737948","7.71216331114141","7.99069302959814","8.27794256838052","8.5740354535975","8.8778775968557","9.18807812625331","9.50379882890832","9.8250589556429","10.1526959172215","10.4877267987487","10.8315930055346","11.1856950348921","11.5510700248656","11.9287478944413","12.3202061442207","12.7270947300874","13.1510972968637","13.5924865645304","14.0526325499318","14.5355570706666","15.0462380685008","15.5880340097858","16.1625900376995","16.7685593968076","17.4024496671212","18.0591008261811","18.7344557632149","19.427818240154","20.1395131146226","20.8677147669848","21.6104748536135","22.3665524985963","23.1350637683484","23.9165380604797","24.7130520574316","","",
"Angola","AGO","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)","EN.ATM.PM25.MC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","100","","","","","100","","","","","100","","","","","100","100","100","100","100","100","100","100","","","",
"Angola","AGO","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.4481159908747","","","","","35.6029081697262","","","","","36.182967879889","","","","","34.9629120527896","","","","","33.7872471854573","33.1041946330203","33.4154950593669","34.6639225658386","32.9740250383699","32.7298731438952","31.785388814817","32.3885049076425","","","",
"Angola","AGO","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","45.2245407104492","46.9258499145508","48.6449546813965","50.3871955871582","52.1502571105957","66.1","55.7218933105469","57.5219917297363","82.0348510742188","82.5","72.7806396484375","67.7724914550781","51","64","70.0981140136719","71.8864593505859","73.6746673583984","","",
"Angola","AGO","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1427.029541","","","","","","","","","","1427.029541","","","","","","","","","","1427.029541","","","","","","","","","","",
"Angola","AGO","Urban land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004331751","","","","","","","","","","0.004331751","","","","","","","","","","0.004331751","","","","","","","","","","",
"Angola","AGO","Urban land area where elevation is below 5 meters (sq. km)","AG.LND.EL5M.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.13067627","","","","","","","","","","54.13067627","","","","","","","","","","54.13067627","","","","","","","","","","",
"Albania","ALB","Urban population (% of total population)","SP.URB.TOTL.IN.ZS","30.705","30.943","31.015","31.086","31.158","31.23","31.302","31.374","31.446","31.548","31.74","31.933","32.127","32.321","32.516","32.712","32.908","33.105","33.302","33.5","33.762","34.024","34.287","34.552","34.817","35.083","35.35","35.619","35.888","36.158","36.428","36.7","37.249","37.799","38.354","38.911","39.473","40.035","40.601","41.169","41.741","42.435","43.501","44.573","45.651","46.731","47.815","48.902","49.991","51.076","52.163","53.247","54.33","55.387","56.423","57.434","58.421","59.383","60.319","61.229","",
"Albania","ALB","Urban population","SP.URB.TOTL","493982","513592","530766","547928","565248","582374","599300","616687","635924","656733","677801","698647","720649","742333","764166","786668","809052","832109","854618","876974","902120","927513","954645","982645","1011235","1040127","1068501","1098349","1127722","1167160","1197222","1198912","1209490","1219882","1230218","1240399","1250518","1260414","1270214","1279853","1289391","1298584","1327220","1354848","1381828","1407298","1430886","1452398","1473392","1495260","1519519","1546929","1575788","1603505","1630119","1654503","1680247","1706345","1728969","1747593","",
